batch,project,prolificId,questionSet,runRecords3,runRecords4,submitRecords3,submitRecords4,screener_current_job,screener_programming_experience_obj,screener_language_proficiency_obj,screener_programming_experience_sub,screener_language_proficiency_sub,perceived_difficulty,post_test_time_complexity,post_test_space_complexity,post_test_comprehend,post_test_code_quality,post_test_comment,attitudes_fear,attitudes_acceptance,domain_knowledge_sub,domain_knowledge_obj,codeExecutionSummary,BF_P_Sim,BF_AI_Sim,JPlag_P_Sim,JPlag_AI_Sim
2,formal_hard_longest_valid_parenthesis_with,627bbf69ab2788507bc421a2,hard_longest_valid_parenthesis,0.1,1,0,1,"Professional specializing in IT (developer, testing engineer, operations engineer, etc).",4,0,4,1,2,AI-code is better,AI-code is better,Fully understand,Somewhat good,Somewhat bad,2.3333333333333335,5.5,3,3,1,1,1,1,1
2,formal_hard_longest_valid_parenthesis_with,647985db31c9c45669d8b50f,hard_longest_valid_parenthesis,0,1,0,0,"Professional specializing in IT (developer, testing engineer, operations engineer, etc).",10,10,5,5,3,AI-code is better,AI-code is better,Fully understand,Very good,Neither good nor bad,1.3333333333333333,9,4,3,1,1,1,1,1
1,formal_hard_longest_valid_parenthesis_without,5f5a5b1f0093330fa4ea011f,hard_longest_valid_parenthesis,1,0,0,0,Student specializing in IT-related fields.,1,1,2,3,3,I don't know,I don't know,Somewhat understand,Somewhat good,There is no comment in the AI-generated codes,4,6.5,2,3,1,0.35,0.4117647058823529,0.36666666666666664,0.44
1,formal_hard_longest_valid_parenthesis_without,611e20464a435b1b494f042d,hard_longest_valid_parenthesis,1,1,0,0,"Professional specializing in IT (developer, testing engineer, operations engineer, etc).",6,4,3,2,3,They are equivalently good,They are equivalently good,Somewhat understand,Somewhat good,Somewhat good,2,8.5,2,2,1,0.6470588235294118,0.6470588235294118,1,1
1,formal_hard_longest_valid_parenthesis_without,6511f1f1490c9df9f8c7890e,hard_longest_valid_parenthesis,1,1,0,0,"Professional specializing in IT (developer, testing engineer, operations engineer, etc).",5,6,5,5,4,AI-code is better,My code is better,Fully understand,Very good,There is no comment in the AI-generated codes,1.6666666666666667,6.5,4,3,1,0.3,0.17647058823529413,0.4583333333333333,0.44
1,formal_hard_longest_valid_parenthesis_without,6522a42f39b5bd8f96735aa9,hard_longest_valid_parenthesis,1,1,0,0,"Professional specializing in IT (developer, testing engineer, operations engineer, etc).",3,4,4,4,1,They are equivalently good,They are equivalently good,Fully understand,Somewhat good,There is no comment in the AI-generated codes,0.3333333333333333,7,5,4,1,0.3076923076923077,0.23529411764705882,1,1
three,formal_hard_longest_valid_parenthesis_without,5b39fe0206f9f90001fb91c8,hard_longest_valid_parenthesis,0.1,0,0,0,Others.,3,2,2,2,5,AI-code is better,AI-code is better,Somewhat understand,Neither good nor bad,There is no comment in the AI-generated codes,2.3333333333333335,7,1,1,0,1,1,1,1
three,formal_hard_longest_valid_parenthesis_without,5ba0c90d2ff2f900019396b7,hard_longest_valid_parenthesis,0.1,1,0,0,Others.,2,2,3,3,2,I don't know,I don't know,Fully understand,Very good,There is no comment in the AI-generated codes,2.3333333333333335,5.5,3,3,1,1,1,1,1
three,formal_hard_longest_valid_parenthesis_without,60087e9189ddb34b79b08be5,hard_longest_valid_parenthesis,1,0,0,0,"Professional specializing in IT (developer, testing engineer, operations engineer, etc).",3,0,3,2,2,I don't know,I don't know,Do not understand,Somewhat bad,There is no comment in the AI-generated codes,4,3.5,2,2,1,0.4444444444444444,0.23529411764705882,0,0
three,formal_hard_longest_valid_parenthesis_without,614c8e5469405530dc27b9d5,hard_longest_valid_parenthesis,0.1,0.1,0,0,Student specializing in IT-related fields.,2,2,2,2,4,AI-code is better,AI-code is better,Do not understand,I don't remember the quality of the AI-generated codes,There is no comment in the AI-generated codes,5.666666666666667,5,1,2,0,1,1,0.84,0.84
three,formal_hard_longest_valid_parenthesis_without,6156eb44180abbb2fd2cb6d8,hard_longest_valid_parenthesis,0.1,1,0.1,0,Others.,20,20,4,3,4,AI-code is better,AI-code is better,Somewhat understand,Very good,There is no comment in the AI-generated codes,8.666666666666666,6,3,3,1,1,1,1,1
three,formal_hard_longest_valid_parenthesis_without,6511e688100fd33b378fa688,hard_longest_valid_parenthesis,1,1,1,1,Student specializing in IT-related fields.,2,2,3,4,1,They are equivalently good,They are equivalently good,Fully understand,Somewhat good,I don't remember the comment quality of the AI-generated codes,2,7.5,3,3,1,0.4117647058823529,0.4117647058823529,1,1
three,formal_hard_longest_valid_parenthesis_without,654ba79df86cdb93dc6a42d3,hard_longest_valid_parenthesis,1,1,0.1,1,"Professional specializing in IT (developer, testing engineer, operations engineer, etc).",10,4,3,3,3,AI-code is better,AI-code is better,Fully understand,Somewhat good,There is no comment in the AI-generated codes,2.3333333333333335,10,3,3,1,1,1,1,1
2,formal_hard_longest_valid_parenthesis_without,601ee216235cb139ff0a631f,hard_longest_valid_parenthesis,0,1,0,1,"Professional specializing in IT (developer, testing engineer, operations engineer, etc).",14,0,5,2,1,They are equivalently good,They are equivalently good,Fully understand,Very good,Very good,9,6,5,4,1,1,1,1,1
2,formal_hard_longest_valid_parenthesis_without,60af9bae67a5ae86b0c4bd68,hard_longest_valid_parenthesis,0.1,1,0,0,Student specializing in IT-related fields.,1,0,3,2,4,They are equivalently good,They are equivalently good,Fully understand,Somewhat good,There is no comment in the AI-generated codes,6.333333333333333,6,2,2,1,0.5,0.5294117647058824,0.42424242424242425,0.56
2,formal_hard_longest_valid_parenthesis_without,611d1b663a5c2ab412850a1c,hard_longest_valid_parenthesis,0.1,0,0.1,0,Others.,5,8,3,4,3,They are equivalently good,They are equivalently good,Somewhat understand,Neither good nor bad,There is no comment in the AI-generated codes,6,8.5,3,2,0,0.3793103448275862,0.6470588235294118,0.5151515151515151,0.68
2,formal_hard_longest_valid_parenthesis_without,62d81f26161631255f0d36bd,hard_longest_valid_parenthesis,1,0,0.1,1,Student specializing in IT-related fields.,3,0,4,3,4,AI-code is better,AI-code is better,Fully understand,Somewhat good,There is no comment in the AI-generated codes,5.333333333333333,6.5,4,3,1,1,1,1,1
2,formal_hard_longest_valid_parenthesis_without,64424f5188239f99ac738e60,hard_longest_valid_parenthesis,0.1,1,0,0,"Professional specializing in IT (developer, testing engineer, operations engineer, etc).",6,0,4,2,3,They are equivalently good,They are equivalently good,Fully understand,Somewhat good,There is no comment in the AI-generated codes,1.6666666666666667,8,1,3,1,0.3125,0.29411764705882354,0.3181818181818182,0.28
2,formal_hard_longest_valid_parenthesis_without,656ee9f847e7cb2f69ca0b62,hard_longest_valid_parenthesis,0.1,0.1,0,0,Others.,0,0,2,2,4,AI-code is better,AI-code is better,Somewhat understand,Somewhat good,There is no comment in the AI-generated codes,4.666666666666667,7,2,2,0,0.14285714285714285,0.11764705882352941,0,0
2,formal_hard_longest_valid_parenthesis_without,662fa29177726b1c13ea12c5,hard_longest_valid_parenthesis,0.1,0.1,0,0,Student specializing in IT-related fields.,2,2,3,3,3,They are equivalently good,AI-code is better,Fully understand,Very good,Somewhat bad,1,8.5,1,2,0,0.35,0.4117647058823529,0.8928571428571429,1
2,formal_hard_longest_valid_parenthesis_without,663b270b282ac15b9d865c7a,hard_longest_valid_parenthesis,1,1,0,1,"Professional specializing in IT (developer, testing engineer, operations engineer, etc).",0,0,2,2,4,AI-code is better,AI-code is better,Somewhat understand,Somewhat good,There is no comment in the AI-generated codes,5.666666666666667,3.5,1,2,1,1,1,1,1
1,formal_medium_find_winner_with,5c5b31c415f6c30001de2df5,medium_find_winner,0,1,0,1,Others.,3,3,3,2,1,AI-code is better,AI-code is better,Fully understand,Very good,I don't remember the comment quality of the AI-generated codes,0,10,2,2,1,0.3076923076923077,0.3076923076923077,0.9090909090909091,0.9523809523809523
1,formal_medium_find_winner_with,5c5dcac26ad0f00001cc1501,medium_find_winner,0.1,1,0,0.1,Others.,2,1,3,3,3,AI-code is better,AI-code is better,Somewhat understand,Neither good nor bad,Very good,0.3333333333333333,7.5,2,1,1,0.9285714285714286,1,0.8636363636363636,0.9047619047619048
1,formal_medium_find_winner_with,6168bf1eabf324700728494b,medium_find_winner,0.1,0.1,0.1,0,Others.,1,0,1,4,5,AI-code is better,I don't know,Somewhat understand,Somewhat good,There is no comment in the AI-generated codes,9.666666666666666,8,2,3,0,0.09090909090909091,0.07692307692307693,0,0
1,formal_medium_find_winner_with,61712d83af60f4d0702f606f,medium_find_winner,0.1,1,0,0,"Professional specializing in IT (developer, testing engineer, operations engineer, etc).",1,4,3,3,2,AI-code is better,AI-code is better,Fully understand,Somewhat good,Very good,3.3333333333333335,7,4,2,1,1,1,1,1
1,formal_medium_find_winner_with,64eb650fbf222d6e2ec9cff9,medium_find_winner,0.1,1,0,0,Student specializing in IT-related fields.,3,1,3,3,3,My code is better,They are equivalently good,Somewhat understand,Somewhat good,Somewhat good,5.666666666666667,8,3,3,1,1,1,1,1
three,formal_medium_find_winner_with,5f01bf065d902430eb9e209b,medium_find_winner,0,1,0,0,"Professional specializing in IT (developer, testing engineer, operations engineer, etc).",5,1,4,3,4,AI-code is better,AI-code is better,Somewhat understand,Somewhat good,Neither good nor bad,6,5.5,2,2,1,1,1,1,1
three,formal_medium_find_winner_with,60be29be5264e6ed7ff6126b,medium_find_winner,0,0,0,0,Others.,0,0,3,2,2,AI-code is better,AI-code is better,Fully understand,Somewhat good,Somewhat good,0.3333333333333333,1.5,2,2,-1,1,1,1,1
three,formal_medium_find_winner_with,60eda88bc2e1c7fdc04c0971,medium_find_winner,1,1,0,0,"Professional specializing in IT (developer, testing engineer, operations engineer, etc).",2,2,3,4,4,They are equivalently good,They are equivalently good,Somewhat understand,Somewhat good,Neither good nor bad,4,8,2,2,1,0.2857142857142857,0.15384615384615385,0.6153846153846154,0.38095238095238093
three,formal_medium_find_winner_with,611189712a6223bedf8c162d,medium_find_winner,0,1,0,0,Others.,3,0,3,2,3,AI-code is better,AI-code is better,Fully understand,Somewhat good,Somewhat good,2.3333333333333335,6.5,2,2,1,0.3076923076923077,0.3076923076923077,1,1
three,formal_medium_find_winner_with,64df6fe64eaf93c4d294eb12,medium_find_winner,0.1,0,0,0,Student specializing in IT-related fields.,2,1,4,2,3,I don't know,My code is better,Somewhat understand,I don't remember the quality of the AI-generated codes,I don't remember the comment quality of the AI-generated codes,2.6666666666666665,8.5,2,2,0,0.16666666666666666,0.15384615384615385,0,0
three,formal_medium_find_winner_with,65e1d1b7409fb89918f53743,medium_find_winner,0,1,0,1,Student specializing in IT-related fields.,3,0,3,2,3,AI-code is better,AI-code is better,Fully understand,Very good,I don't remember the comment quality of the AI-generated codes,7.333333333333333,6.5,3,3,1,0.17391304347826086,0.3076923076923077,0.29411764705882354,0.47619047619047616
2,formal_medium_find_winner_with,60a6bc4f4cb533e7e0867aab,medium_find_winner,0,0,0,0,Student specializing in IT-related fields.,2,2,2,2,3,AI-code is better,AI-code is better,Somewhat understand,Very good,Somewhat good,4.666666666666667,7,1,1,-1,1,1,1,1
2,formal_medium_find_winner_with,60e567bba0aef0be5a115d97,medium_find_winner,0.1,1,0,0,"Professional specializing in IT (developer, testing engineer, operations engineer, etc).",26,4,4,3,4,AI-code is better,AI-code is better,Fully understand,Somewhat good,Somewhat good,4.333333333333333,6,3,3,1,1,1,1,1
2,formal_medium_find_winner_with,6129091a4488538bc7654940,medium_find_winner,0.1,1,0,0,"Professional specializing in IT (developer, testing engineer, operations engineer, etc).",6,6,5,4,2,They are equivalently good,They are equivalently good,Do not understand,Neither good nor bad,I don't remember the comment quality of the AI-generated codes,4.666666666666667,7,4,4,1,0.42857142857142855,0.46153846153846156,0.9130434782608695,1
2,formal_medium_find_winner_with,615e09b45124daba0eeb3e6b,medium_find_winner,0.1,1,0,0,"Professional specializing in IT (developer, testing engineer, operations engineer, etc).",3,3,3,4,4,I don't know,I don't know,Somewhat understand,Somewhat good,Very good,3.3333333333333335,8,1,2,1,0.9230769230769231,0.9230769230769231,1,1
2,formal_medium_find_winner_with,654d5ff18c8cf0674dfdd737,medium_find_winner,0.1,1,0,1,"Professional specializing in IT (developer, testing engineer, operations engineer, etc).",7,2,3,3,2,AI-code is better,AI-code is better,Somewhat understand,Very good,Very good,7.333333333333333,7.5,4,3,1,0.38461538461538464,0.38461538461538464,1,1
2,formal_medium_find_winner_with,655788501826eeea1b788f8b,medium_find_winner,0.1,0.1,0.1,0,Others.,2,0,2,2,4,I don't know,AI-code is better,Somewhat understand,Somewhat good,Very bad,8,2.5,4,3,0,0.9285714285714286,1,1,1
2,formal_medium_find_winner_with,66338ecbf38c676d9d783a6f,medium_find_winner,0,1,0,0,"Professional specializing in IT (developer, testing engineer, operations engineer, etc).",2,1,4,3,4,AI-code is better,AI-code is better,Somewhat understand,Very good,Neither good nor bad,6.333333333333333,7,1,1,1,1,1,1,1
1,formal_medium_find_winner_without,5a60a51863394a0001552447,medium_find_winner,0.1,1,0.1,0,"Professional specializing in IT (developer, testing engineer, operations engineer, etc).",6,3,3,3,3,AI-code is better,AI-code is better,Fully understand,Somewhat good,There is no comment in the AI-generated codes,4,6,2,2,1,0.4,0.3076923076923077,0,0
1,formal_medium_find_winner_without,607728dc0b4f8590b94ae57c,medium_find_winner,0.1,1,0,0,"Professional specializing in IT (developer, testing engineer, operations engineer, etc).",5,3,3,4,3,AI-code is better,They are equivalently good,Fully understand,Very good,Somewhat good,7.333333333333333,8,3,3,1,1,1,1,1
1,formal_medium_find_winner_without,65fb4091fe89197d0e19987c,medium_find_winner,1,1,0,0,Student specializing in IT-related fields.,4,3,3,4,3,I don't know,They are equivalently good,Fully understand,Somewhat good,There is no comment in the AI-generated codes,10,8.5,3,3,1,0.42857142857142855,0.23076923076923078,0.6153846153846154,0.38095238095238093
three,formal_medium_find_winner_without,5f172fe7c89bde065a7e120e,medium_find_winner,0.1,1,0,0,Others.,3,1,3,2,3,AI-code is better,AI-code is better,Somewhat understand,Very good,Somewhat good,1.3333333333333333,5,1,3,1,0.8666666666666667,1,0.84,1
three,formal_medium_find_winner_without,61378d6b7827f7a08486eb84,medium_find_winner,0.1,1,0,0,Others.,1,1,3,4,4,I don't know,I don't know,Somewhat understand,Somewhat good,There is no comment in the AI-generated codes,0,9,2,2,1,0.6923076923076923,0.6923076923076923,1,1
three,formal_medium_find_winner_without,6169a9e467cae08f6a6d3698,medium_find_winner,0.1,1,0,1,Others.,5,2,3,3,2,AI-code is better,I don't know,Fully understand,Somewhat good,I don't remember the comment quality of the AI-generated codes,3.6666666666666665,3,2,3,1,1,1,1,1
three,formal_medium_find_winner_without,6474ce47e76e9b169b175cee,medium_find_winner,0.1,1,0,1,Others.,4,3,3,2,2,I don't know,I don't know,Somewhat understand,Somewhat good,There is no comment in the AI-generated codes,4.333333333333333,3,1,1,1,0.46153846153846156,0.46153846153846156,1,1
three,formal_medium_find_winner_without,64d23e803ee1da9a01e52faa,medium_find_winner,0.1,0.1,0,0,"Professional specializing in IT (developer, testing engineer, operations engineer, etc).",3,1,4,3,4,I don't know,They are equivalently good,I don't remember if I can understand. ,I don't remember the quality of the AI-generated codes,There is no comment in the AI-generated codes,3.6666666666666665,6.5,1,1,0,0.3333333333333333,0.38461538461538464,0,0
2,formal_medium_find_winner_without,5df6304773d724428a9cff45,medium_find_winner,0,1,0,1,Student specializing in IT-related fields.,6,2,4,3,3,AI-code is better,AI-code is better,Fully understand,Very good,There is no comment in the AI-generated codes,7.666666666666667,3.5,1,2,1,0.35714285714285715,0.38461538461538464,0.9130434782608695,1
2,formal_medium_find_winner_without,60e75e7f069a9a811800b74a,medium_find_winner,0.1,1,0,0,Others.,1,1,3,2,5,AI-code is better,AI-code is better,Somewhat understand,Somewhat good,There is no comment in the AI-generated codes,1.3333333333333333,6.5,1,2,1,1,1,1,1
2,formal_medium_find_winner_without,61092f01d8c20f8e9e784549,medium_find_winner,0.1,0.1,0,0,"Professional specializing in IT (developer, testing engineer, operations engineer, etc).",5,3,5,3,3,AI-code is better,They are equivalently good,Somewhat understand,Very good,There is no comment in the AI-generated codes,6.666666666666667,10,4,3,0,0.2,0.23076923076923078,0,0
2,formal_medium_find_winner_without,6112750106250f3a55d1e28d,medium_find_winner,0.1,1,0,0,"Professional specializing in IT (developer, testing engineer, operations engineer, etc).",3,3,4,4,3,AI-code is better,AI-code is better,Fully understand,Very good,There is no comment in the AI-generated codes,1.6666666666666667,8,2,3,1,0.3076923076923077,0.3076923076923077,1,1
2,formal_medium_find_winner_without,6120eb44c9cb47c287219598,medium_find_winner,0.1,0,0,0,Others.,0,0,2,2,2,I don't know,I don't know,Somewhat understand,Neither good nor bad,There is no comment in the AI-generated codes,9.333333333333334,7.5,1,1,0,0.5714285714285714,0.6153846153846154,0,0
2,formal_medium_find_winner_without,615a14687d8069031a680e9b,medium_find_winner,0,1,0,0,"Professional specializing in IT (developer, testing engineer, operations engineer, etc).",6,5,3,4,4,AI-code is better,AI-code is better,Somewhat understand,Very good,There is no comment in the AI-generated codes,3,7,2,2,1,1,1,1,1
2,formal_medium_find_winner_without,6611da82eccdd337a7ce65ee,medium_find_winner,0.1,1,0,0,Student specializing in IT-related fields.,1,1,2,3,5,I don't know,I don't know,Somewhat understand,Somewhat good,There is no comment in the AI-generated codes,2,5,1,1,1,1,1,1,1
2,formal_medium_find_winner_without,6623e8345875c239fcd2bd9e,medium_find_winner,0,1,0,0,Student specializing in IT-related fields.,4,1,3,2,4,AI-code is better,My code is better,Fully understand,Very good,There is no comment in the AI-generated codes,0.3333333333333333,8.5,2,2,1,0.3333333333333333,0.3076923076923077,0.5263157894736842,0.47619047619047616
2,formal_medium_find_winner_without,66303b3d77cdc9c216ed8a9d,medium_find_winner,1,1,0,1,"Professional specializing in IT (developer, testing engineer, operations engineer, etc).",15,10,5,5,4,They are equivalently good,They are equivalently good,Fully understand,Very good,There is no comment in the AI-generated codes,6,3,5,3,1,0.25,0.3076923076923077,1,1
1,formal_medium_validate_BST_with,5fdcad62eed16d2504b27f5a,medium_validate_BST,0,0.1,0,0,"Professional specializing in IT (developer, testing engineer, operations engineer, etc).",3,4,4,5,3,AI-code is better,They are equivalently good,Somewhat understand,Very good,Very good,7,8.5,3,3,0,0.6666666666666666,0.6666666666666666,0.9411764705882353,1
1,formal_medium_validate_BST_with,64a6f9c781f425259aba5e4a,medium_validate_BST,1,1,0,0,Student specializing in IT-related fields.,3,1,4,3,1,They are equivalently good,They are equivalently good,Fully understand,Very good,Very good,2.3333333333333335,5.5,5,3,1,0.23076923076923078,0.2,0.6956521739130435,1
three,formal_medium_validate_BST_with,603ec9304e3f3200d7ed2ead,medium_validate_BST,0.1,0.1,0.1,0.1,"Professional specializing in IT (developer, testing engineer, operations engineer, etc).",3,3,3,5,4,AI-code is better,AI-code is better,Fully understand,Somewhat good,Somewhat good,6.333333333333333,8.5,2,2,0,0.23076923076923078,0.2,0.3103448275862069,0.5625
three,formal_medium_validate_BST_with,61085eb72ce70a498366f602,medium_validate_BST,0.1,1,0,0,Student specializing in IT-related fields.,3,2,3,4,2,AI-code is better,AI-code is better,Fully understand,Somewhat good,Somewhat good,2.6666666666666665,8.5,1,2,1,0.7,0.9333333333333333,0.6956521739130435,1
three,formal_medium_validate_BST_with,614929e5dc437220dafb260c,medium_validate_BST,0,0.1,0,0,"Professional specializing in IT (developer, testing engineer, operations engineer, etc).",2,1,3,3,5,AI-code is better,AI-code is better,Somewhat understand,Somewhat good,Somewhat good,6,7.5,2,3,0,0.17647058823529413,0.2,0.6956521739130435,1
three,formal_medium_validate_BST_with,63c7bb2ae745777e97741ee4,medium_validate_BST,0.1,1,0,0,Student specializing in IT-related fields.,1,0,2,1,5,AI-code is better,AI-code is better,Somewhat understand,Somewhat good,Somewhat good,2.3333333333333335,5.5,2,2,1,1,1,1,1
three,formal_medium_validate_BST_with,6583290296d9a7dea982e013,medium_validate_BST,1,1,0,0,Student specializing in IT-related fields.,3,1,3,3,4,They are equivalently good,My code is better,Fully understand,Somewhat good,Somewhat good,3.3333333333333335,8,3,3,1,1,1,1,1
2,formal_medium_validate_BST_with,6011c91e496f2f16d61402e7,medium_validate_BST,1,1,1,1,"Professional specializing in IT (developer, testing engineer, operations engineer, etc).",4,1,3,3,2,They are equivalently good,AI-code is better,Fully understand,Somewhat good,Somewhat good,2.3333333333333335,7.5,4,3,1,0.7,0.4666666666666667,1,1
2,formal_medium_validate_BST_with,612681578c97326c99eb14d3,medium_validate_BST,1,0,1,0,Student specializing in IT-related fields.,2,1,2,2,4,I don't know,They are equivalently good,Somewhat understand,Neither good nor bad,I don't remember the comment quality of the AI-generated codes,6.333333333333333,4.5,2,2,1,0.23529411764705882,0.26666666666666666,0.5217391304347826,0.75
2,formal_medium_validate_BST_with,615b38fbee37c31346d21b1c,medium_validate_BST,0,0.1,0,0,"Professional specializing in IT (developer, testing engineer, operations engineer, etc).",3,1,3,2,4,I don't know,AI-code is better,Somewhat understand,I don't remember the quality of the AI-generated codes,I don't remember the comment quality of the AI-generated codes,5,5.5,2,2,0,0.8125,0.8666666666666667,1,1
2,formal_medium_validate_BST_with,6529416fca661cf7ee143821,medium_validate_BST,0.1,1,0,0,"Professional specializing in IT (developer, testing engineer, operations engineer, etc).",3,3,3,3,4,AI-code is better,AI-code is better,Somewhat understand,Very good,Very good,6.666666666666667,6.5,3,2,1,1,1,1,1
2,formal_medium_validate_BST_with,657dc1eca553ae8ee187d53e,medium_validate_BST,0.1,1,0,0,Others.,3,3,3,4,4,AI-code is better,AI-code is better,Somewhat understand,Very good,Very good,6,7,3,3,1,1,1,1,1
2,formal_medium_validate_BST_with,65c783e5704051956c8ff924,medium_validate_BST,0.1,1,0,1,Student specializing in IT-related fields.,2,1,3,3,4,They are equivalently good,They are equivalently good,Fully understand,Very good,Very good,6.666666666666667,9,2,2,1,1,1,1,1
2,formal_medium_validate_BST_with,662f826869bc43d3dbbc8d9f,medium_validate_BST,0.1,1,0,0,Student specializing in IT-related fields.,5,2,4,3,3,My code is better,AI-code is better,Somewhat understand,Somewhat good,Very good,5.666666666666667,8.5,2,2,1,1,1,1,1
2,formal_medium_validate_BST_with,66303b3d77cdc9c216ed8a9d,medium_validate_BST,1,1,1,0,"Professional specializing in IT (developer, testing engineer, operations engineer, etc).",15,10,5,5,2,My code is better,My code is better,Fully understand,Very good,Somewhat bad,7,3,5,3,1,0.5,0.4,1,1
1,formal_medium_validate_BST_without,60f514c8104b6a16e44f77a9,medium_validate_BST,0,1,0,0,"Professional specializing in IT (developer, testing engineer, operations engineer, etc).",2,2,3,3,3,I don't know,I don't know,Somewhat understand,I don't remember the quality of the AI-generated codes,I don't remember the comment quality of the AI-generated codes,4.333333333333333,7,3,3,1,0.42857142857142855,0.4,1,1
1,formal_medium_validate_BST_without,650b5155a7df63a5df87a7ed,medium_validate_BST,1,1,0,0,Student specializing in IT-related fields.,2,1,3,3,4,They are equivalently good,They are equivalently good,Fully understand,Very good,There is no comment in the AI-generated codes,3.6666666666666665,8.5,2,3,1,1,1,1,1
three,formal_medium_validate_BST_without,60ae750dbba4a1822e957e68,medium_validate_BST,1,1,0,0.1,Others.,1,9,3,4,3,I don't know,I don't know,Fully understand,Neither good nor bad,There is no comment in the AI-generated codes,4.666666666666667,7,2,3,1,0.16666666666666666,0.06666666666666667,0.6666666666666666,0.5
three,formal_medium_validate_BST_without,60f882dc7ca7b1a971cd2742,medium_validate_BST,0,0.1,0,0,"Professional specializing in IT (developer, testing engineer, operations engineer, etc).",5,1,2,2,3,AI-code is better,AI-code is better,Somewhat understand,Very good,There is no comment in the AI-generated codes,4.333333333333333,8,2,2,0,0.5,0.26666666666666666,0,0
three,formal_medium_validate_BST_without,6168e39eeeb42428028ff420,medium_validate_BST,1,0,0,0,Student specializing in IT-related fields.,3,0,3,2,3,My code is better,I don't know,Do not understand,Neither good nor bad,There is no comment in the AI-generated codes,5,6.5,3,2,1,0.23529411764705882,0.26666666666666666,0,0
three,formal_medium_validate_BST_without,650eff6cc0027471d6e1cc27,medium_validate_BST,0.1,1,0,0,Student specializing in IT-related fields.,2,0,2,2,4,AI-code is better,AI-code is better,I don't remember if I can understand. ,Somewhat good,Somewhat good,2.6666666666666665,8,1,2,1,1,1,1,1
three,formal_medium_validate_BST_without,65bc0b7d67c3b127986fe002,medium_validate_BST,0.1,0.1,0,0,Student specializing in IT-related fields.,1,1,2,3,4,AI-code is better,They are equivalently good,Somewhat understand,Somewhat good,Somewhat good,1,8,1,1,0,0.07142857142857142,0.13333333333333333,0,0
three,formal_medium_validate_BST_without,663b6d84a0d3ecfe9217c822,medium_validate_BST,0.1,1,0,1,"Professional specializing in IT (developer, testing engineer, operations engineer, etc).",5,3,5,3,4,I don't know,I don't know,Somewhat understand,Very good,There is no comment in the AI-generated codes,7,6,3,3,1,1,1,1,1
2,formal_medium_validate_BST_without,5f1f5fe94154031594d4e345,medium_validate_BST,0.1,1,0,0,Student specializing in IT-related fields.,3,0,4,2,3,AI-code is better,AI-code is better,Somewhat understand,Somewhat good,There is no comment in the AI-generated codes,4,6.5,3,3,1,0.9333333333333333,0.9333333333333333,1,1
2,formal_medium_validate_BST_without,6094ce8d0764c24f352d1fe5,medium_validate_BST,0,0.1,0,0.1,Student specializing in IT-related fields.,3,2,3,4,3,AI-code is better,My code is better,Somewhat understand,Somewhat good,There is no comment in the AI-generated codes,2.3333333333333335,6.5,1,2,0,0.5333333333333333,0.5333333333333333,1,1
2,formal_medium_validate_BST_without,610ba8fced24e6ce1c89c68c,medium_validate_BST,0.1,0,0,0,"Professional specializing in IT (developer, testing engineer, operations engineer, etc).",6,1,3,2,5,AI-code is better,AI-code is better,Somewhat understand,Neither good nor bad,There is no comment in the AI-generated codes,5,6,1,1,0,0.1,0.06666666666666667,0,0
2,formal_medium_validate_BST_without,614d8fbb82f1d17aa02851fa,medium_validate_BST,0.1,0.1,0,0,"Professional specializing in IT (developer, testing engineer, operations engineer, etc).",2,2,3,4,4,AI-code is better,AI-code is better,Somewhat understand,Neither good nor bad,There is no comment in the AI-generated codes,4,5,2,2,0,0.2222222222222222,0.13333333333333333,0,0
2,formal_medium_validate_BST_without,64401b8dc61551f15637634b,medium_validate_BST,1,0,0.1,1,Others.,10,5,5,4,2,AI-code is better,AI-code is better,Fully understand,Somewhat good,There is no comment in the AI-generated codes,0,4.5,4,3,1,1,1,1,1
2,formal_medium_validate_BST_without,6525e82c59ec5a1ce71b9f27,medium_validate_BST,0.1,1,0,1,"Professional specializing in IT (developer, testing engineer, operations engineer, etc).",2,3,2,3,4,AI-code is better,AI-code is better,Do not understand,Somewhat good,There is no comment in the AI-generated codes,2.6666666666666665,8,3,3,1,0.4444444444444444,0.26666666666666666,1,1
2,formal_medium_validate_BST_without,659973d85dffc3c84fb51ec4,medium_validate_BST,1,0,0,0,"Professional specializing in IT (developer, testing engineer, operations engineer, etc).",25,20,5,5,3,My code is better,My code is better,Fully understand,Somewhat good,There is no comment in the AI-generated codes,7.666666666666667,3.5,5,4,1,0.2,0.13333333333333333,0.5714285714285714,0.75
2,formal_medium_validate_BST_without,65b9019d4b66bcd86a2b6ec5,medium_validate_BST,0.1,1,0,0,Others.,4,2,3,4,3,AI-code is better,AI-code is better,Somewhat understand,I don't remember the quality of the AI-generated codes,I don't remember the comment quality of the AI-generated codes,2.3333333333333335,9,2,2,1,1,1,1,1
2,formal_medium_validate_BST_without,65dcb8de27f5cb588f25952f,medium_validate_BST,0,1,0,0,"Professional specializing in IT (developer, testing engineer, operations engineer, etc).",10,0,3,2,3,AI-code is better,AI-code is better,Somewhat understand,Neither good nor bad,There is no comment in the AI-generated codes,0.6666666666666666,6,2,2,1,0.8666666666666667,0.8666666666666667,1,1
